Animal,Exp,Tratamiento,Edad,Sexo,Hora,Intensidad,Lux,IM/100,IMdec,IM,TotalEstimulos,Respuestas,Freezing,HeadBobbing,Rearing
Isquemia6,Isquemia,IsqUnilat,Joven,M,2pm,5,"14,6","0,215","21,505",22,3,2,,,
Isquemia7,Isquemia,IsqUnilat,Joven,M,2pm,1,"18,8","0,092","9,179",8,3,0,,,
Isquemia7,Isquemia,IsqUnilat,Joven,M,2pm,2,"17,5","0,127","12,718",12,3,0,,,
Isquemia7,Isquemia,IsqUnilat,Joven,M,2pm,3,"16,5","0,156","15,601",15,3,0,,,
Isquemia7,Isquemia,IsqUnilat,Joven,M,2pm,4,"15,9","0,174","17,403",18,3,2,,,
Isquemia7,Isquemia,IsqUnilat,Joven,M,2pm,5,"14,6","0,215","21,505",22,3,3,,,
Isquemia8,Isquemia,IsqUnilat,Joven,M,2pm,1,"18,8","0,092","9,179",8,3,0,,,
Isquemia8,Isquemia,IsqUnilat,Joven,M,2pm,2,"17,5","0,127","12,718",12,3,0,,,
Isquemia8,Isquemia,IsqUnilat,Joven,M,2pm,3,"16,5","0,156","15,601",15,3,1,,,
Isquemia8,Isquemia,IsqUnilat,Joven,M,2pm,4,"15,9","0,174","17,403",18,3,1,,,
Isquemia8,Isquemia,IsqUnilat,Joven,M,2pm,5,"14,6","0,215","21,505",22,3,2,,,
Isquemia9,Isquemia,IsqUnilat,Joven,M,2pm,1,"18,8","0,092","9,179",8,3,0,,,
Isquemia9,Isquemia,IsqUnilat,Joven,M,2pm,2,"17,5","0,127","12,718",12,3,1,,,
Isquemia9,Isquemia,IsqUnilat,Joven,M,2pm,3,"16,5","0,156","15,601",15,3,0,,,
Isquemia9,Isquemia,IsqUnilat,Joven,M,2pm,4,"15,9","0,174","17,403",18,3,1,,,
Isquemia9,Isquemia,IsqUnilat,Joven,M,2pm,5,"14,6","0,215","21,505",22,3,2,,,
Isquemia10,Isquemia,IsqUnilat,Joven,M,2pm,1,"18,8","0,092","9,179",8,3,0,,,
Isquemia10,Isquemia,IsqUnilat,Joven,M,2pm,2,"17,5","0,127","12,718",12,3,0,,,
Isquemia10,Isquemia,IsqUnilat,Joven,M,2pm,3,"16,5","0,156","15,601",15,3,2,,,
Isquemia10,Isquemia,IsqUnilat,Joven,M,2pm,4,"15,9","0,174","17,403",18,3,1,,,
Isquemia10,Isquemia,IsqUnilat,Joven,M,2pm,5,"14,6","0,215","21,505",22,3,3,,,
Isquemia11,Isquemia,IsqBilat,Joven,M,2pm,1,"18,8","0,092","9,179",8,3,0,,,
Isquemia11,Isquemia,IsqBilat,Joven,M,2pm,2,"17,5","0,127","12,718",12,3,0,,,
Isquemia11,Isquemia,IsqBilat,Joven,M,2pm,3,"16,5","0,156","15,601",15,3,0,,,
Isquemia11,Isquemia,IsqBilat,Joven,M,2pm,4,"15,9","0,174","17,403",18,3,1,,,
Isquemia11,Isquemia,IsqBilat,Joven,M,2pm,5,"14,6","0,215","21,505",22,3,1,,,
Isquemia12,Isquemia,IsqBilat,Joven,M,2pm,1,"18,8","0,092","9,179",8,3,0,,,
Isquemia12,Isquemia,IsqBilat,Joven,M,2pm,2,"17,5","0,127","12,718",12,3,0,,,
Isquemia12,Isquemia,IsqBilat,Joven,M,2pm,3,"16,5","0,156","15,601",15,3,0,,,
Isquemia12,Isquemia,IsqBilat,Joven,M,2pm,4,"15,9","0,174","17,403",18,3,0,,,
Isquemia12,Isquemia,IsqBilat,Joven,M,2pm,5,"14,6","0,215","21,505",22,3,2,,,
Isquemia13,Isquemia,IsqBilat,Joven,M,2pm,1,"18,8","0,092","9,179",8,3,0,,,
Isquemia13,Isquemia,IsqBilat,Joven,M,2pm,2,"17,5","0,127","12,718",12,3,0,,,
Isquemia13,Isquemia,IsqBilat,Joven,M,2pm,3,"16,5","0,156","15,601",15,3,0,,,
Isquemia13,Isquemia,IsqBilat,Joven,M,2pm,4,"15,9","0,174","17,403",18,3,0,,,
Isquemia13,Isquemia,IsqBilat,Joven,M,2pm,5,"14,6","0,215","21,505",22,3,1,,,
Isquemia14,Isquemia,IsqBilat,Joven,M,2pm,1,"18,8","0,092","9,179",8,3,0,,,
Isquemia14,Isquemia,IsqBilat,Joven,M,2pm,2,"17,5","0,127","12,718",12,3,0,,,
Isquemia14,Isquemia,IsqBilat,Joven,M,2pm,3,"16,5","0,156","15,601",15,3,0,,,
Isquemia14,Isquemia,IsqBilat,Joven,M,2pm,4,"15,9","0,174","17,403",18,3,1,,,
Isquemia14,Isquemia,IsqBilat,Joven,M,2pm,5,"14,6","0,215","21,505",22,3,2,,,
Isquemia15,Isquemia,IsqBilat,Joven,M,2pm,1,"18,8","0,092","9,179",8,3,0,,,
Isquemia15,Isquemia,IsqBilat,Joven,M,2pm,2,"17,5","0,127","12,718",12,3,0,,,
Isquemia15,Isquemia,IsqBilat,Joven,M,2pm,3,"16,5","0,156","15,601",15,3,0,,,
Isquemia15,Isquemia,IsqBilat,Joven,M,2pm,4,"15,9","0,174","17,403",18,3,1,,,
Isquemia15,Isquemia,IsqBilat,Joven,M,2pm,5,"14,6","0,215","21,505",22,3,1,,,
Isquemia16,Isquemia,IsqBilat,Joven,M,2pm,1,"18,8","0,092","9,179",8,3,0,,,
Isquemia16,Isquemia,IsqBilat,Joven,M,2pm,2,"17,5","0,127","12,718",12,3,0,,,
Isquemia16,Isquemia,IsqBilat,Joven,M,2pm,3,"16,5","0,156","15,601",15,3,0,,,
Isquemia16,Isquemia,IsqBilat,Joven,M,2pm,4,"15,9","0,174","17,403",18,3,2,,,
Isquemia16,Isquemia,IsqBilat,Joven,M,2pm,5,"14,6","0,215","21,505",22,3,1,,,
Isquemia17,Isquemia,Control,Joven,M,2pm,1,"18,8","0,092","9,179",8,3,0,,,
Isquemia17,Isquemia,Control,Joven,M,2pm,2,"17,5","0,127","12,718",12,3,0,,,
Isquemia17,Isquemia,Control,Joven,M,2pm,3,"16,5","0,156","15,601",15,3,2,,,
Isquemia17,Isquemia,Control,Joven,M,2pm,4,"15,9","0,174","17,403",18,3,1,,,
Isquemia17,Isquemia,Control,Joven,M,2pm,5,"14,6","0,215","21,505",22,3,3,,,
