Animal,Exp,Tratamiento,Edad,Sexo,Intensidad,IMv,IM,TotalEstimulos,Respuestas
MachoViejo5,PuestaAPunto,Naive,Vieja,M,5,"34,1",12,4,2
MachoViejo5,PuestaAPunto,Naive,Vieja,M,6,"45,0",16,4,3
HembraVieja6,PuestaAPunto,Naive,Vieja,H,1,"6,9",4,4,0
HembraVieja6,PuestaAPunto,Naive,Vieja,H,2,"13,2",6,4,0
HembraVieja6,PuestaAPunto,Naive,Vieja,H,3,"19,8",8,4,1
HembraVieja6,PuestaAPunto,Naive,Vieja,H,4,"27,2",10,4,1
HembraVieja6,PuestaAPunto,Naive,Vieja,H,5,"34,1",12,4,2
HembraVieja6,PuestaAPunto,Naive,Vieja,H,6,"45,0",16,4,3
HembraVieja7,PuestaAPunto,Naive,Vieja,H,1,"6,9",4,4,0
HembraVieja7,PuestaAPunto,Naive,Vieja,H,2,"13,2",6,4,0
HembraVieja7,PuestaAPunto,Naive,Vieja,H,3,"19,8",8,4,1
HembraVieja7,PuestaAPunto,Naive,Vieja,H,4,"27,2",10,4,1
HembraVieja7,PuestaAPunto,Naive,Vieja,H,5,"34,1",12,4,3
HembraVieja7,PuestaAPunto,Naive,Vieja,H,6,"45,0",16,4,4
MachoViejo6,PuestaAPunto,Naive,Vieja,M,1,"6,9",4,4,0
MachoViejo6,PuestaAPunto,Naive,Vieja,M,2,"13,2",6,4,0
MachoViejo6,PuestaAPunto,Naive,Vieja,M,3,"19,8",8,4,0
MachoViejo6,PuestaAPunto,Naive,Vieja,M,4,"27,2",10,4,1
MachoViejo6,PuestaAPunto,Naive,Vieja,M,5,"34,1",12,4,3
MachoViejo6,PuestaAPunto,Naive,Vieja,M,6,"45,0",16,4,3
MachoViejo7,PuestaAPunto,Naive,Vieja,M,1,"6,9",4,4,0
MachoViejo7,PuestaAPunto,Naive,Vieja,M,2,"13,2",6,4,0
MachoViejo7,PuestaAPunto,Naive,Vieja,M,3,"19,8",8,4,2
MachoViejo7,PuestaAPunto,Naive,Vieja,M,4,"27,2",10,4,1
MachoViejo7,PuestaAPunto,Naive,Vieja,M,5,"34,1",12,4,2
MachoViejo7,PuestaAPunto,Naive,Vieja,M,6,"45,0",16,4,3
SCGx1,ExpSCGx,scgx,Joven,M,1,"6,9",4,4,0
SCGx1,ExpSCGx,scgx,Joven,M,2,"13,2",6,4,0
SCGx1,ExpSCGx,scgx,Joven,M,3,"19,8",8,4,0
SCGx1,ExpSCGx,scgx,Joven,M,4,"27,2",10,4,2
SCGx1,ExpSCGx,scgx,Joven,M,5,"34,1",12,4,2
SCGx1,ExpSCGx,scgx,Joven,M,6,"45,0",16,4,3
SCGx2,ExpSCGx,scgx,Joven,M,1,"6,9",4,4,0
SCGx2,ExpSCGx,scgx,Joven,M,2,"13,2",6,4,1
SCGx2,ExpSCGx,scgx,Joven,M,3,"19,8",8,4,1
SCGx2,ExpSCGx,scgx,Joven,M,4,"27,2",10,4,2
SCGx2,ExpSCGx,scgx,Joven,M,5,"34,1",12,4,2
SCGx2,ExpSCGx,scgx,Joven,M,6,"45,0",16,4,3
SCGx3,ExpSCGx,scgx,Joven,M,1,"6,9",4,4,0
SCGx3,ExpSCGx,scgx,Joven,M,2,"13,2",6,4,0
SCGx3,ExpSCGx,scgx,Joven,M,3,"19,8",8,4,1
SCGx3,ExpSCGx,scgx,Joven,M,4,"27,2",10,4,0
SCGx3,ExpSCGx,scgx,Joven,M,5,"34,1",12,4,2
SCGx3,ExpSCGx,scgx,Joven,M,6,"45,0",16,4,3
SCGx4,ExpSCGx,scgx,Joven,M,1,"6,9",4,4,0
SCGx4,ExpSCGx,scgx,Joven,M,2,"13,2",6,4,0
SCGx4,ExpSCGx,scgx,Joven,M,3,"19,8",8,4,1
SCGx4,ExpSCGx,scgx,Joven,M,4,"27,2",10,4,1
SCGx4,ExpSCGx,scgx,Joven,M,5,"34,1",12,4,2
SCGx4,ExpSCGx,scgx,Joven,M,6,"45,0",16,4,4
SCGx5,ExpSCGx,scgx,Joven,M,1,"6,9",4,4,0
SCGx5,ExpSCGx,scgx,Joven,M,2,"13,2",6,4,0
SCGx5,ExpSCGx,scgx,Joven,M,3,"19,8",8,4,1
SCGx5,ExpSCGx,scgx,Joven,M,4,"27,2",10,4,2
SCGx5,ExpSCGx,scgx,Joven,M,5,"34,1",12,4,2
